Gemeente;NIS-code;Indicator;Jaar;Type;Mediaanprijs (in euro)
Aartselaar;11001;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;272000,0
Aartselaar;11001;Mediaanprijs huizen;2015;Open bebouwing;400000,0
Aartselaar;11001;Mediaanprijs huizen;2016;Alle huizen;300000,0
Aartselaar;11001;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;270000,0
Aartselaar;11001;Mediaanprijs huizen;2016;Open bebouwing;447000,0
Aartselaar;11001;Mediaanprijs huizen;2017;Alle huizen;307250,0
Aartselaar;11001;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;284500,0
Aartselaar;11001;Mediaanprijs huizen;2017;Open bebouwing;442500,0
Aartselaar;11001;Mediaanprijs huizen;2018;Alle huizen;312500,0
Aartselaar;11001;Mediaanprijs huizen;2018;Gesloten/halfopen bebouwing;295000,0
Aartselaar;11001;Mediaanprijs huizen;2018;Open bebouwing;448500,0
Aartselaar;11001;Mediaanprijs huizen;2019;Alle huizen;330000,0
Aartselaar;11001;Mediaanprijs huizen;2019;Gesloten/halfopen bebouwing;310000,0
Aartselaar;11001;Mediaanprijs huizen;2019;Open bebouwing;462500,0
Aartselaar;11001;Mediaanprijs huizen;2020;Alle huizen;350000,0
Aartselaar;11001;Mediaanprijs huizen;2020;Gesloten/halfopen bebouwing;330000,0
Aartselaar;11001;Mediaanprijs huizen;2020;Open bebouwing;565000,0
Aartselaar;11001;Mediaanprijs huizen;2021;Alle huizen;380000,0
Aartselaar;11001;Mediaanprijs huizen;2021;Gesloten/halfopen bebouwing;355000,0
Aartselaar;11001;Mediaanprijs huizen;2021;Open bebouwing;597000,0
Aartselaar;11001;Mediaanprijs huizen;2022;Alle huizen;405000,0
Aartselaar;11001;Mediaanprijs huizen;2022;Gesloten/halfopen bebouwing;380000,0
Aartselaar;11001;Mediaanprijs huizen;2022;Open bebouwing;615000,0
Aartselaar;11001;Mediaanprijs huizen;2023;Alle huizen;403600,0
Aartselaar;11001;Mediaanprijs huizen;2023;Gesloten/halfopen bebouwing;372500,0
Aartselaar;11001;Mediaanprijs huizen;2023;Open bebouwing;600000,0
Aartselaar;11001;Mediaanprijs huizen;2024;Alle huizen;415000,0
Aartselaar;11001;Mediaanprijs huizen;2024;Gesloten/halfopen bebouwing;385000,0
Aartselaar;11001;Mediaanprijs huizen;2024;Open bebouwing;620000,0
Aartselaar;11001;Mediaanprijs huizen;2025;Alle huizen;442500,0
Aartselaar;11001;Mediaanprijs huizen;2025;Gesloten/halfopen bebouwing;412500,0
Aartselaar;11001;Mediaanprijs huizen;2025;Open bebouwing;737500,0
Antwerpen;11002;Mediaanprijs huizen;2010;Alle huizen;200000,0
Antwerpen;11002;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;197428,0
Antwerpen;11002;Mediaanprijs huizen;2010;Open bebouwing;370000,0
Antwerpen;11002;Mediaanprijs huizen;2011;Alle huizen;207000,0
Antwerpen;11002;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;202000,0
Antwerpen;11002;Mediaanprijs huizen;2011;Open bebouwing;440000,0
Antwerpen;11002;Mediaanprijs huizen;2012;Alle huizen;210000,0
Antwerpen;11002;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;205000,0
Antwerpen;11002;Mediaanprijs huizen;2012;Open bebouwing;375000,0
Antwerpen;11002;Mediaanprijs huizen;2013;Alle huizen;219000,0
Antwerpen;11002;Mediaanprijs huizen;2013;Gesloten/halfopen bebouwing;215000,0
Antwerpen;11002;Mediaanprijs huizen;2013;Open bebouwing;442500,0
Antwerpen;11002;Mediaanprijs huizen;2014;Alle huizen;220000,0
Antwerpen;11002;Mediaanprijs huizen;2014;Gesloten/halfopen bebouwing;217000,0
Antwerpen;11002;Mediaanprijs huizen;2014;Open bebouwing;365000,0
Antwerpen;11002;Mediaanprijs huizen;2015;Alle huizen;220000,0
Antwerpen;11002;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;217000,0
Antwerpen;11002;Mediaanprijs huizen;2015;Open bebouwing;420000,0
Antwerpen;11002;Mediaanprijs huizen;2016;Alle huizen;229000,0
Antwerpen;11002;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;225000,0
Antwerpen;11002;Mediaanprijs huizen;2016;Open bebouwing;410000,0
Antwerpen;11002;Mediaanprijs huizen;2017;Alle huizen;235000,0
Antwerpen;11002;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;230000,0
Antwerpen;11002;Mediaanprijs huizen;2017;Open bebouwing;425000,0
Antwerpen;11002;Mediaanprijs huizen;2018;Alle huizen;247000,0
Antwerpen;11002;Mediaanprijs huizen;2018;Gesloten/halfopen bebouwing;245000,0
Antwerpen;11002;Mediaanprijs huizen;2018;Open bebouwing;411250,0
Antwerpen;11002;Mediaanprijs huizen;2019;Alle huizen;265000,0
Antwerpen;11002;Mediaanprijs huizen;2019;Gesloten/halfopen bebouwing;260000,0
Antwerpen;11002;Mediaanprijs huizen;2019;Open bebouwing;467500,0
Antwerpen;11002;Mediaanprijs huizen;2020;Alle huizen;280000,0
Antwerpen;11002;Mediaanprijs huizen;2020;Gesloten/halfopen bebouwing;275000,0
Antwerpen;11002;Mediaanprijs huizen;2020;Open bebouwing;515000,0
Antwerpen;11002;Mediaanprijs huizen;2021;Alle huizen;309500,0
Antwerpen;11002;Mediaanprijs huizen;2021;Gesloten/halfopen bebouwing;305000,0
Antwerpen;11002;Mediaanprijs huizen;2021;Open bebouwing;550050,0
Antwerpen;11002;Mediaanprijs huizen;2022;Alle huizen;327000,0
Antwerpen;11002;Mediaanprijs huizen;2022;Gesloten/halfopen bebouwing;325000,0
Antwerpen;11002;Mediaanprijs huizen;2022;Open bebouwing;525000,0
Antwerpen;11002;Mediaanprijs huizen;2023;Alle huizen;339000,0
Antwerpen;11002;Mediaanprijs huizen;2023;Gesloten/halfopen bebouwing;335000,0
Antwerpen;11002;Mediaanprijs huizen;2023;Open bebouwing;560050,0
Antwerpen;11002;Mediaanprijs huizen;2024;Alle huizen;343000,0
Antwerpen;11002;Mediaanprijs huizen;2024;Gesloten/halfopen bebouwing;340000,0
Antwerpen;11002;Mediaanprijs huizen;2024;Open bebouwing;575000,0
Antwerpen;11002;Mediaanprijs huizen;2025;Alle huizen;369000,0
Antwerpen;11002;Mediaanprijs huizen;2025;Gesloten/halfopen bebouwing;365000,0
Antwerpen;11002;Mediaanprijs huizen;2025;Open bebouwing;649500,0
Boechout;11004;Mediaanprijs huizen;2010;Alle huizen;294500,0
Boechout;11004;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;250000,0
Boechout;11004;Mediaanprijs huizen;2010;Open bebouwing;414250,0
Boechout;11004;Mediaanprijs huizen;2011;Alle huizen;277500,0
Boechout;11004;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;257500,0
Boechout;11004;Mediaanprijs huizen;2011;Open bebouwing;
Boechout;11004;Mediaanprijs huizen;2012;Alle huizen;290000,0
Boechout;11004;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;267000,0
Boechout;11004;Mediaanprijs huizen;2012;Open bebouwing;
Boechout;11004;Mediaanprijs huizen;2013;Alle huizen;290000,0
Boechout;11004;Mediaanprijs huizen;2013;Gesloten/halfopen bebouwing;260000,0
Boechout;11004;Mediaanprijs huizen;2013;Open bebouwing;380000,0
Boechout;11004;Mediaanprijs huizen;2014;Alle huizen;310000,0
Boechout;11004;Mediaanprijs huizen;2014;Gesloten/halfopen bebouwing;270000,0
Boechout;11004;Mediaanprijs huizen;2014;Open bebouwing;420000,0
Boechout;11004;Mediaanprijs huizen;2015;Alle huizen;316000,0
Boechout;11004;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;265000,0
Boechout;11004;Mediaanprijs huizen;2015;Open bebouwing;425000,0
Boechout;11004;Mediaanprijs huizen;2016;Alle huizen;305000,0
Boechout;11004;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;267500,0
Boechout;11004;Mediaanprijs huizen;2016;Open bebouwing;440000,0
Boechout;11004;Mediaanprijs huizen;2017;Alle huizen;320000,0
Boechout;11004;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;281055,0
Boechout;11004;Mediaanprijs huizen;2017;Open bebouwing;464000,0
Boechout;11004;Mediaanprijs huizen;2018;Alle huizen;370000,0
Boechout;11004;Mediaanprijs huizen;2018;Gesloten/halfopen bebouwing;331000,0
Boechout;11004;Mediaanprijs huizen;2018;Open bebouwing;472500,0
Boechout;11004;Mediaanprijs huizen;2019;Alle huizen;360000,0
Boechout;11004;Mediaanprijs huizen;2019;Gesloten/halfopen bebouwing;329000,0
Boechout;11004;Mediaanprijs huizen;2019;Open bebouwing;457500,0
Boechout;11004;Mediaanprijs huizen;2020;Alle huizen;390000,0
Boechout;11004;Mediaanprijs huizen;2020;Gesloten/halfopen bebouwing;325000,0
Boechout;11004;Mediaanprijs huizen;2020;Open bebouwing;585000,0
Boechout;11004;Mediaanprijs huizen;2021;Alle huizen;407750,0
Boechout;11004;Mediaanprijs huizen;2021;Gesloten/halfopen bebouwing;364500,0
Boechout;11004;Mediaanprijs huizen;2021;Open bebouwing;590000,0
Boechout;11004;Mediaanprijs huizen;2022;Alle huizen;397000,0
Boechout;11004;Mediaanprijs huizen;2022;Gesloten/halfopen bebouwing;340950,0
Boechout;11004;Mediaanprijs huizen;2022;Open bebouwing;600000,0
Boechout;11004;Mediaanprijs huizen;2023;Alle huizen;450225,0
Boechout;11004;Mediaanprijs huizen;2023;Gesloten/halfopen bebouwing;395000,0
Boechout;11004;Mediaanprijs huizen;2023;Open bebouwing;606903,0
Boechout;11004;Mediaanprijs huizen;2024;Alle huizen;520000,0
Boechout;11004;Mediaanprijs huizen;2024;Gesloten/halfopen bebouwing;461376,0
Boechout;11004;Mediaanprijs huizen;2024;Open bebouwing;625000,0
Boechout;11004;Mediaanprijs huizen;2025;Alle huizen;435000,0
Boechout;11004;Mediaanprijs huizen;2025;Gesloten/halfopen bebouwing;413500,0
Boechout;11004;Mediaanprijs huizen;2025;Open bebouwing;680000,0
Boom;11005;Mediaanprijs huizen;2010;Alle huizen;170000,0
Boom;11005;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;169500,0
Boom;11005;Mediaanprijs huizen;2010;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2011;Alle huizen;170000,0
Boom;11005;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;170000,0
Boom;11005;Mediaanprijs huizen;2011;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2012;Alle huizen;175000,0
Boom;11005;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;175000,0
Boom;11005;Mediaanprijs huizen;2012;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2013;Alle huizen;170000,0
Boom;11005;Mediaanprijs huizen;2013;Gesloten/halfopen bebouwing;168000,0
Boom;11005;Mediaanprijs huizen;2013;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2014;Alle huizen;180000,0
Boom;11005;Mediaanprijs huizen;2014;Gesloten/halfopen bebouwing;180000,0
Boom;11005;Mediaanprijs huizen;2014;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2015;Alle huizen;176750,0
Boom;11005;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;175500,0
Boom;11005;Mediaanprijs huizen;2015;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2016;Alle huizen;180000,0
Boom;11005;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;178000,0
Boom;11005;Mediaanprijs huizen;2016;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2017;Alle huizen;191000,0
Boom;11005;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;185000,0
Boom;11005;Mediaanprijs huizen;2017;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2018;Alle huizen;190000,0
Boom;11005;Mediaanprijs huizen;2018;Gesloten/halfopen bebouwing;190000,0
Boom;11005;Mediaanprijs huizen;2018;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2019;Alle huizen;220000,0
Boom;11005;Mediaanprijs huizen;2019;Gesloten/halfopen bebouwing;219950,0
Boom;11005;Mediaanprijs huizen;2019;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2020;Alle huizen;230000,0
Boom;11005;Mediaanprijs huizen;2020;Gesloten/halfopen bebouwing;222500,0
Boom;11005;Mediaanprijs huizen;2020;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2021;Alle huizen;233000,0
Boom;11005;Mediaanprijs huizen;2021;Gesloten/halfopen bebouwing;232500,0
Boom;11005;Mediaanprijs huizen;2021;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2022;Alle huizen;275000,0
Boom;11005;Mediaanprijs huizen;2022;Gesloten/halfopen bebouwing;275000,0
Boom;11005;Mediaanprijs huizen;2022;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2023;Alle huizen;280000,0
Boom;11005;Mediaanprijs huizen;2023;Gesloten/halfopen bebouwing;275000,0
Boom;11005;Mediaanprijs huizen;2023;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2024;Alle huizen;290000,0
Boom;11005;Mediaanprijs huizen;2024;Gesloten/halfopen bebouwing;289000,0
Boom;11005;Mediaanprijs huizen;2024;Open bebouwing;
Boom;11005;Mediaanprijs huizen;2025;Alle huizen;275000,0
Boom;11005;Mediaanprijs huizen;2025;Gesloten/halfopen bebouwing;262000,0
Boom;11005;Mediaanprijs huizen;2025;Open bebouwing;
Brasschaat;11008;Mediaanprijs huizen;2010;Alle huizen;300000,0
Brasschaat;11008;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;260000,0
Brasschaat;11008;Mediaanprijs huizen;2010;Open bebouwing;492000,0
Brasschaat;11008;Mediaanprijs huizen;2011;Alle huizen;305000,0
Brasschaat;11008;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;270000,0
Brasschaat;11008;Mediaanprijs huizen;2011;Open bebouwing;510000,0
Brasschaat;11008;Mediaanprijs huizen;2012;Alle huizen;315000,0
Brasschaat;11008;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;275000,0
Brasschaat;11008;Mediaanprijs huizen;2012;Open bebouwing;515000,0
